list_id,family,condition,year,region,price_vnd,odo_km,battery_topic,peer_listings,peer_sellers,peer_median_vnd,peer_p25_vnd,peer_p75_vnd,price_position,verification_status,subject
134188567,VF8,New,2026,Ho Chi Minh City,845000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF8 All New - Ưu đãi cọc giảm ngay 51tr 🚨
133741133,VF7,New,2026,Ho Chi Minh City,850000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF7 Plus TC3 Đỏ
133690662,VF7,New,2026,Ho Chi Minh City,780000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF7 Plus, SẴN XE GIAO NGAY"
134370973,VF3,New,2026,Ho Chi Minh City,280000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 Eco đủ màu trả trước 55tr
134471669,VF5,Used,2024,Ho Chi Minh City,330000000,150.0,Not mentioned,11,10,368000000.0,350000000.0,379500000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 Plus Trắng 150 vạn/km
134471569,VF5,Used,2024,Ho Chi Minh City,330000000,150.0,Not mentioned,11,10,368000000.0,350000000.0,379500000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 Plus Trắng 150 vạn/km
130163604,VF6,New,2026,Ho Chi Minh City,683000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF6 Plus TC2 Trả Trước 85tr
130789989,VF5,New,2026,Ho Chi Minh City,471000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VF5 ĐƯA 60 TRIỆU ĐỒNG, BAO NỢ XẤU NHÓM 5"
132627136,VF8,New,2026,Ho Chi Minh City,848000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",🚗 VINFAST VF 8 THẾ HỆ MỚI – SUV ĐIỆN CÔNG NGHỆ CAO
121661352,VF6,New,2026,Ho Chi Minh City,646000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF6 BAO NỢ XÂU+BANK 90%+72TR NHẬN XE
